County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
40 - San Luis Obispo,2013-10-14T00:00:00,In Closure,"$9,523,308.00 ",30,""
41 - San Mateo,2013-10-14T00:00:00,In Review,"$76,750,622.16 ",28,Bay Area Counties
41 - San Mateo,2013-10-14T00:00:00,Pending Construction,"$36,040,138.96 ",32,Bay Area Counties
41 - San Mateo,2013-10-14T00:00:00,In Construction,"$329,339,610.94 ",67,Bay Area Counties
41 - San Mateo,2013-10-14T00:00:00,In Closure,"$59,086,232.01 ",42,Bay Area Counties
42 - Santa Barbara,2013-10-14T00:00:00,In Review,"$10,741,200.00 ",15,""
42 - Santa Barbara,2013-10-14T00:00:00,Pending Construction,"$149,282,187.80 ",22,""
42 - Santa Barbara,2013-10-14T00:00:00,In Construction,"$228,096,917.43 ",34,""
42 - Santa Barbara,2013-10-14T00:00:00,In Closure,"$95,552,890.41 ",23,""
43 - Santa Clara,2013-10-14T00:00:00,In Review,"$763,865,453.25 ",80,Bay Area Counties
43 - Santa Clara,2013-10-14T00:00:00,Pending Construction,"$178,505,703.77 ",71,Bay Area Counties
43 - Santa Clara,2013-10-14T00:00:00,In Construction,"$769,666,467.77 ",165,Bay Area Counties
43 - Santa Clara,2013-10-14T00:00:00,In Closure,"$91,227,844.85 ",141,Bay Area Counties
44 - Santa Cruz,2013-10-14T00:00:00,In Review,"$10,510,974.00 ",8,""
44 - Santa Cruz,2013-10-14T00:00:00,Pending Construction,"$495,319.00 ",7,""
44 - Santa Cruz,2013-10-14T00:00:00,In Construction,"$3,549,812.99 ",21,""
44 - Santa Cruz,2013-10-14T00:00:00,In Closure,"$10,195,895.50 ",14,""
45 - Shasta,2013-10-14T00:00:00,In Review,"$24,745,486.00 ",20,""
45 - Shasta,2013-10-14T00:00:00,Pending Construction,"$1,481,187.00 ",13,""
45 - Shasta,2013-10-14T00:00:00,In Construction,"$5,229,507.81 ",19,""
45 - Shasta,2013-10-14T00:00:00,In Closure,"$9,154,279.00 ",3,""
46 - Sierra,2013-10-14T00:00:00,In Review,$0.00 ,0,""
46 - Sierra,2013-10-14T00:00:00,Pending Construction,$0.00 ,0,""
46 - Sierra,2013-10-14T00:00:00,In Construction,$0.00 ,0,""
46 - Sierra,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
47 - Siskiyou,2013-10-14T00:00:00,In Review,"$10,000.00 ",1,""
47 - Siskiyou,2013-10-14T00:00:00,Pending Construction,"$726,700.00 ",3,""
47 - Siskiyou,2013-10-14T00:00:00,In Construction,"$1,090,562.07 ",7,""
47 - Siskiyou,2013-10-14T00:00:00,In Closure,"$60,000.00 ",2,""
48 - Solano,2013-10-14T00:00:00,In Review,"$3,770,069.00 ",11,Bay Area Counties
48 - Solano,2013-10-14T00:00:00,Pending Construction,"$9,788,515.00 ",12,Bay Area Counties
48 - Solano,2013-10-14T00:00:00,In Construction,"$42,042,209.13 ",30,Bay Area Counties
