County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
24 - Merced,2021-11-05T00:00:00,In Construction,"$1,121,143.00 ",6,""
24 - Merced,2021-11-05T00:00:00,In Closure,"$23,000.00 ",1,""
25 - Modoc,2021-11-05T00:00:00,In Review,0,0,""
25 - Modoc,2021-11-05T00:00:00,Pending Construction,0,0,""
25 - Modoc,2021-11-05T00:00:00,In Construction,"$21,700.00 ",1,""
25 - Modoc,2021-11-05T00:00:00,In Closure,0,0,""
26 - Mono,2021-11-05T00:00:00,In Review,0,0,""
26 - Mono,2021-11-05T00:00:00,Pending Construction,"$118,134.00 ",2,""
26 - Mono,2021-11-05T00:00:00,In Construction,"$434,040.00 ",3,""
26 - Mono,2021-11-05T00:00:00,In Closure,0,0,""
27 - Monterey,2021-11-05T00:00:00,In Review,"$17,859,700.00 ",10,""
27 - Monterey,2021-11-05T00:00:00,Pending Construction,"$13,411,448.13 ",19,""
27 - Monterey,2021-11-05T00:00:00,In Construction,"$60,203,879.25 ",44,""
27 - Monterey,2021-11-05T00:00:00,In Closure,"$17,673,209.32 ",6,""
28 - Napa,2021-11-05T00:00:00,In Review,"$1,177,900.00 ",6,Bay Area Counties
28 - Napa,2021-11-05T00:00:00,Pending Construction,"$1,339,910.00 ",7,Bay Area Counties
28 - Napa,2021-11-05T00:00:00,In Construction,"$24,867,081.00 ",16,Bay Area Counties
28 - Napa,2021-11-05T00:00:00,In Closure,"$2,279,013.00 ",4,Bay Area Counties
29 - Nevada,2021-11-05T00:00:00,In Review,"$5,657,652.00 ",2,""
29 - Nevada,2021-11-05T00:00:00,Pending Construction,"$98,879.00 ",2,""
29 - Nevada,2021-11-05T00:00:00,In Construction,"$2,884,585.66 ",6,""
29 - Nevada,2021-11-05T00:00:00,In Closure,"$29,740.73 ",1,""
30 - Orange,2021-11-05T00:00:00,In Review,"$79,925,838.45 ",51,Greater Los Angeles Counties
30 - Orange,2021-11-05T00:00:00,Pending Construction,"$54,761,914.00 ",98,Greater Los Angeles Counties
30 - Orange,2021-11-05T00:00:00,In Construction,"$184,833,339.58 ",139,Greater Los Angeles Counties
30 - Orange,2021-11-05T00:00:00,In Closure,"$4,546,377.78 ",10,Greater Los Angeles Counties
31 - Placer,2021-11-05T00:00:00,In Review,"$18,524,485.00 ",12,Greater Sacramento Counties
31 - Placer,2021-11-05T00:00:00,Pending Construction,"$37,599,853.00 ",14,Greater Sacramento Counties
31 - Placer,2021-11-05T00:00:00,In Construction,"$36,246,595.15 ",19,Greater Sacramento Counties
31 - Placer,2021-11-05T00:00:00,In Closure,"$4,330,781.00 ",2,Greater Sacramento Counties
32 - Plumas,2021-11-05T00:00:00,In Review,0,0,""
32 - Plumas,2021-11-05T00:00:00,Pending Construction,0,0,""
32 - Plumas,2021-11-05T00:00:00,In Construction,"$289,348.00 ",1,""
32 - Plumas,2021-11-05T00:00:00,In Closure,0,0,""
33 - Riverside,2021-11-05T00:00:00,In Review,"$221,014,135.27 ",40,""
33 - Riverside,2021-11-05T00:00:00,Pending Construction,"$125,682,054.24 ",65,""
33 - Riverside,2021-11-05T00:00:00,In Construction,"$328,665,883.77 ",137,""
33 - Riverside,2021-11-05T00:00:00,In Closure,"$197,946,576.93 ",21,""
34 - Sacramento,2021-11-05T00:00:00,In Review,"$60,737,318.68 ",32,Greater Sacramento Counties
34 - Sacramento,2021-11-05T00:00:00,Pending Construction,"$65,929,190.00 ",46,Greater Sacramento Counties
34 - Sacramento,2021-11-05T00:00:00,In Construction,"$430,732,229.95 ",149,Greater Sacramento Counties
34 - Sacramento,2021-11-05T00:00:00,In Closure,"$5,402,282.60 ",9,Greater Sacramento Counties
35 - San Benito,2021-11-05T00:00:00,In Review,0,0,""
35 - San Benito,2021-11-05T00:00:00,Pending Construction,"$1,325,000.00 ",2,""
35 - San Benito,2021-11-05T00:00:00,In Construction,"$347,027.00 ",2,""
35 - San Benito,2021-11-05T00:00:00,In Closure,0,0,""
36 - San Bernardino,2021-11-05T00:00:00,In Review,"$20,043,959.56 ",30,""
36 - San Bernardino,2021-11-05T00:00:00,Pending Construction,"$27,722,141.29 ",58,""
36 - San Bernardino,2021-11-05T00:00:00,In Construction,"$449,185,097.95 ",123,""
36 - San Bernardino,2021-11-05T00:00:00,In Closure,"$35,435,863.98 ",23,""
37 - San Diego,2021-11-05T00:00:00,In Review,"$579,475,406.14 ",53,""
37 - San Diego,2021-11-05T00:00:00,Pending Construction,"$50,261,632.20 ",76,""
37 - San Diego,2021-11-05T00:00:00,In Construction,"$687,509,814.13 ",183,""
37 - San Diego,2021-11-05T00:00:00,In Closure,"$21,519,154.16 ",33,""
38 - San Francisco,2021-11-05T00:00:00,In Review,"$57,826,470.00 ",23,Bay Area Counties
38 - San Francisco,2021-11-05T00:00:00,Pending Construction,"$34,575,223.05 ",43,Bay Area Counties
38 - San Francisco,2021-11-05T00:00:00,In Construction,"$237,173,484.08 ",117,Bay Area Counties
38 - San Francisco,2021-11-05T00:00:00,In Closure,"$11,221,127.77 ",19,Bay Area Counties
39 - San Joaquin,2021-11-05T00:00:00,In Review,"$1,444,008.00 ",5,""
39 - San Joaquin,2021-11-05T00:00:00,Pending Construction,"$15,696,780.00 ",23,""
39 - San Joaquin,2021-11-05T00:00:00,In Construction,"$37,718,140.00 ",25,""
39 - San Joaquin,2021-11-05T00:00:00,In Closure,"$1,583,592.40 ",4,""
40 - San Luis Obispo,2021-11-05T00:00:00,In Review,"$73,720,000.00 ",5,""
40 - San Luis Obispo,2021-11-05T00:00:00,Pending Construction,"$1,577,443.00 ",6,""
40 - San Luis Obispo,2021-11-05T00:00:00,In Construction,"$6,727,883.48 ",10,""
40 - San Luis Obispo,2021-11-05T00:00:00,In Closure,0,0,""
41 - San Mateo,2021-11-05T00:00:00,In Review,"$8,330,134.00 ",16,Bay Area Counties
41 - San Mateo,2021-11-05T00:00:00,Pending Construction,"$12,952,358.00 ",21,Bay Area Counties
41 - San Mateo,2021-11-05T00:00:00,In Construction,"$83,581,150.70 ",55,Bay Area Counties
41 - San Mateo,2021-11-05T00:00:00,In Closure,"$4,207,346.11 ",6,Bay Area Counties
42 - Santa Barbara,2021-11-05T00:00:00,In Review,"$14,264,200.00 ",5,""
42 - Santa Barbara,2021-11-05T00:00:00,Pending Construction,"$14,698,867.14 ",16,""
42 - Santa Barbara,2021-11-05T00:00:00,In Construction,"$30,955,560.00 ",22,""
42 - Santa Barbara,2021-11-05T00:00:00,In Closure,"$467,930,205.00 ",8,""
43 - Santa Clara,2021-11-05T00:00:00,In Review,"$676,082,998.00 ",56,Bay Area Counties
43 - Santa Clara,2021-11-05T00:00:00,Pending Construction,"$126,687,554.14 ",77,Bay Area Counties
43 - Santa Clara,2021-11-05T00:00:00,In Construction,"$814,055,521.64 ",184,Bay Area Counties
43 - Santa Clara,2021-11-05T00:00:00,In Closure,"$73,313,525.82 ",23,Bay Area Counties
44 - Santa Cruz,2021-11-05T00:00:00,In Review,"$7,462,952.43 ",2,""
44 - Santa Cruz,2021-11-05T00:00:00,Pending Construction,"$2,309,344.00 ",3,""
44 - Santa Cruz,2021-11-05T00:00:00,In Construction,"$9,986,928.55 ",20,""
44 - Santa Cruz,2021-11-05T00:00:00,In Closure,"$1,554,877.67 ",3,""
45 - Shasta,2021-11-05T00:00:00,In Review,"$406,040.00 ",5,""
45 - Shasta,2021-11-05T00:00:00,Pending Construction,"$3,198,000.00 ",3,""
45 - Shasta,2021-11-05T00:00:00,In Construction,"$26,292,574.74 ",19,""
45 - Shasta,2021-11-05T00:00:00,In Closure,"$1,329,612.00 ",5,""
46 - Sierra,2021-11-05T00:00:00,In Review,0,0,""
46 - Sierra,2021-11-05T00:00:00,Pending Construction,0,0,""
46 - Sierra,2021-11-05T00:00:00,In Construction,0,0,""
46 - Sierra,2021-11-05T00:00:00,In Closure,0,0,""
47 - Siskiyou,2021-11-05T00:00:00,In Review,"$125,000.00 ",1,""
47 - Siskiyou,2021-11-05T00:00:00,Pending Construction,"$1,213,473.00 ",1,""
47 - Siskiyou,2021-11-05T00:00:00,In Construction,"$7,535,410.00 ",7,""
47 - Siskiyou,2021-11-05T00:00:00,In Closure,0,0,""
48 - Solano,2021-11-05T00:00:00,In Review,"$2,058,690.00 ",6,Bay Area Counties
48 - Solano,2021-11-05T00:00:00,Pending Construction,"$32,890,039.12 ",25,Bay Area Counties
48 - Solano,2021-11-05T00:00:00,In Construction,"$31,555,284.65 ",42,Bay Area Counties
48 - Solano,2021-11-05T00:00:00,In Closure,"$1,718,507.00 ",4,Bay Area Counties
49 - Sonoma,2021-11-05T00:00:00,In Review,"$7,803,848.00 ",17,Bay Area Counties
49 - Sonoma,2021-11-05T00:00:00,Pending Construction,"$23,083,600.92 ",24,Bay Area Counties
49 - Sonoma,2021-11-05T00:00:00,In Construction,"$143,375,045.87 ",58,Bay Area Counties
49 - Sonoma,2021-11-05T00:00:00,In Closure,"$10,958,544.79 ",1,Bay Area Counties
50 - Stanislaus,2021-11-05T00:00:00,In Review,"$19,041,236.00 ",10,""
50 - Stanislaus,2021-11-05T00:00:00,Pending Construction,"$2,295,615.00 ",16,""
50 - Stanislaus,2021-11-05T00:00:00,In Construction,"$17,395,900.56 ",32,""
50 - Stanislaus,2021-11-05T00:00:00,In Closure,"$12,692.35 ",1,""
51 - Sutter,2021-11-05T00:00:00,In Review,"$240,000.00 ",2,""
51 - Sutter,2021-11-05T00:00:00,Pending Construction,"$64,020.00 ",2,""
51 - Sutter,2021-11-05T00:00:00,In Construction,"$30,000.00 ",1,""
51 - Sutter,2021-11-05T00:00:00,In Closure,"$35,000.00 ",1,""
52 - Tehama,2021-11-05T00:00:00,In Review,"$1,302,475.00 ",2,""
52 - Tehama,2021-11-05T00:00:00,Pending Construction,"$3,471,000.00 ",4,""
52 - Tehama,2021-11-05T00:00:00,In Construction,"$343,836.00 ",3,""
52 - Tehama,2021-11-05T00:00:00,In Closure,0,0,""
53 - Trinity,2021-11-05T00:00:00,In Review,0,0,""
53 - Trinity,2021-11-05T00:00:00,Pending Construction,0,0,""
53 - Trinity,2021-11-05T00:00:00,In Construction,"$951,500.00 ",2,""
53 - Trinity,2021-11-05T00:00:00,In Closure,0,0,""
54 - Tulare,2021-11-05T00:00:00,In Review,"$25,793,944.00 ",3,""
54 - Tulare,2021-11-05T00:00:00,Pending Construction,"$2,127,648.00 ",11,""
54 - Tulare,2021-11-05T00:00:00,In Construction,"$46,233,938.06 ",28,""
54 - Tulare,2021-11-05T00:00:00,In Closure,0,0,""
55 - Tuolumne,2021-11-05T00:00:00,In Review,0,0,""
55 - Tuolumne,2021-11-05T00:00:00,Pending Construction,0,0,""
55 - Tuolumne,2021-11-05T00:00:00,In Construction,"$41,500.00 ",2,""
55 - Tuolumne,2021-11-05T00:00:00,In Closure,0,0,""
56 - Ventura,2021-11-05T00:00:00,In Review,"$13,986,000.00 ",5,Greater Los Angeles Counties
56 - Ventura,2021-11-05T00:00:00,Pending Construction,"$15,459,798.00 ",19,Greater Los Angeles Counties
56 - Ventura,2021-11-05T00:00:00,In Construction,"$154,680,500.38 ",38,Greater Los Angeles Counties
56 - Ventura,2021-11-05T00:00:00,In Closure,"$17,843,682.00 ",5,Greater Los Angeles Counties
57 - Yolo,2021-11-05T00:00:00,In Review,0,0,Greater Sacramento Counties
57 - Yolo,2021-11-05T00:00:00,Pending Construction,"$3,802,098.00 ",5,Greater Sacramento Counties
57 - Yolo,2021-11-05T00:00:00,In Construction,"$64,544,137.00 ",15,Greater Sacramento Counties
57 - Yolo,2021-11-05T00:00:00,In Closure,0,0,Greater Sacramento Counties
58 - Yuba,2021-11-05T00:00:00,In Review,"$108,500.00 ",2,""
58 - Yuba,2021-11-05T00:00:00,Pending Construction,$750.00 ,1,""
58 - Yuba,2021-11-05T00:00:00,In Construction,"$6,640,139.54 ",9,""
58 - Yuba,2021-11-05T00:00:00,In Closure,"$21,428.00 ",1,""
01 - Alameda,2021-11-18T00:00:00,In Review,"$20,516,122.00 ",23,Bay Area Counties
01 - Alameda,2021-11-18T00:00:00,Pending Construction,"$19,512,866.61 ",37,Bay Area Counties
01 - Alameda,2021-11-18T00:00:00,In Construction,"$257,720,192.79 ",94,Bay Area Counties
01 - Alameda,2021-11-18T00:00:00,In Closure,"$14,794,770.00 ",15,Bay Area Counties
02 - Alpine,2021-11-18T00:00:00,In Review,0,0,""
02 - Alpine,2021-11-18T00:00:00,Pending Construction,0,0,""
02 - Alpine,2021-11-18T00:00:00,In Construction,0,0,""
02 - Alpine,2021-11-18T00:00:00,In Closure,0,0,""
03 - Amador,2021-11-18T00:00:00,In Review,"$1,114,782.00 ",3,""
03 - Amador,2021-11-18T00:00:00,Pending Construction,"$7,000.00 ",1,""
03 - Amador,2021-11-18T00:00:00,In Construction,"$750,546.00 ",2,""
03 - Amador,2021-11-18T00:00:00,In Closure,0,0,""
04 - Butte,2021-11-18T00:00:00,In Review,"$50,000.00 ",1,""
04 - Butte,2021-11-18T00:00:00,Pending Construction,"$329,333.00 ",1,""
04 - Butte,2021-11-18T00:00:00,In Construction,"$122,045,530.39 ",18,""
04 - Butte,2021-11-18T00:00:00,In Closure,0,0,""
05 - Calaveras,2021-11-18T00:00:00,In Review,"$720,500.00 ",3,""
05 - Calaveras,2021-11-18T00:00:00,Pending Construction,"$18,000.00 ",2,""
05 - Calaveras,2021-11-18T00:00:00,In Construction,0,0,""
05 - Calaveras,2021-11-18T00:00:00,In Closure,0,0,""
06 - Colusa,2021-11-18T00:00:00,In Review,0,0,""
06 - Colusa,2021-11-18T00:00:00,Pending Construction,0,0,""
06 - Colusa,2021-11-18T00:00:00,In Construction,0,0,""
06 - Colusa,2021-11-18T00:00:00,In Closure,0,0,""
07 - Contra Costa,2021-11-18T00:00:00,In Review,"$35,064,800.75 ",22,Bay Area Counties
07 - Contra Costa,2021-11-18T00:00:00,Pending Construction,"$67,548,286.22 ",27,Bay Area Counties
07 - Contra Costa,2021-11-18T00:00:00,In Construction,"$106,439,240.00 ",70,Bay Area Counties
07 - Contra Costa,2021-11-18T00:00:00,In Closure,"$29,269,787.00 ",6,Bay Area Counties
08 - Del Norte,2021-11-18T00:00:00,In Review,0,0,""
08 - Del Norte,2021-11-18T00:00:00,Pending Construction,"$93,000.00 ",2,""
08 - Del Norte,2021-11-18T00:00:00,In Construction,"$2,456,550.00 ",2,""
08 - Del Norte,2021-11-18T00:00:00,In Closure,"$1,752,007.00 ",1,""
09 - El Dorado,2021-11-18T00:00:00,In Review,"$1,879,459.53 ",4,Greater Sacramento Counties
09 - El Dorado,2021-11-18T00:00:00,Pending Construction,"$174,330.00 ",3,Greater Sacramento Counties
09 - El Dorado,2021-11-18T00:00:00,In Construction,"$10,956,410.88 ",6,Greater Sacramento Counties
09 - El Dorado,2021-11-18T00:00:00,In Closure,"$20,864.00 ",1,Greater Sacramento Counties
10 - Fresno,2021-11-18T00:00:00,In Review,"$54,248,617.00 ",11,""
10 - Fresno,2021-11-18T00:00:00,Pending Construction,"$20,456,392.16 ",22,""
10 - Fresno,2021-11-18T00:00:00,In Construction,"$192,580,105.47 ",84,""
10 - Fresno,2021-11-18T00:00:00,In Closure,"$3,292,027.00 ",7,""
11 - Glenn,2021-11-18T00:00:00,In Review,0,0,""
11 - Glenn,2021-11-18T00:00:00,Pending Construction,"$60,000.00 ",1,""
11 - Glenn,2021-11-18T00:00:00,In Construction,"$87,733.34 ",3,""
11 - Glenn,2021-11-18T00:00:00,In Closure,"$2,500.00 ",1,""
12 - Humboldt,2021-11-18T00:00:00,In Review,"$1,935,500.00 ",4,""
12 - Humboldt,2021-11-18T00:00:00,Pending Construction,"$3,889,250.00 ",8,""
12 - Humboldt,2021-11-18T00:00:00,In Construction,"$17,529,248.00 ",16,""
12 - Humboldt,2021-11-18T00:00:00,In Closure,0,0,""
13 - Imperial,2021-11-18T00:00:00,In Review,"$50,000.00 ",1,""
13 - Imperial,2021-11-18T00:00:00,Pending Construction,"$5,400,000.00 ",2,""
13 - Imperial,2021-11-18T00:00:00,In Construction,"$38,740,934.00 ",14,""
13 - Imperial,2021-11-18T00:00:00,In Closure,"$115,500.00 ",1,""
14 - Inyo,2021-11-18T00:00:00,In Review,"$2,937,866.00 ",2,""
14 - Inyo,2021-11-18T00:00:00,Pending Construction,"$374,000.00 ",1,""
14 - Inyo,2021-11-18T00:00:00,In Construction,"$1,585,500.00 ",3,""
14 - Inyo,2021-11-18T00:00:00,In Closure,0,0,""
15 - Kern,2021-11-18T00:00:00,In Review,"$98,683,896.00 ",19,""
15 - Kern,2021-11-18T00:00:00,Pending Construction,"$62,399,102.00 ",19,""
15 - Kern,2021-11-18T00:00:00,In Construction,"$58,263,844.83 ",37,""
15 - Kern,2021-11-18T00:00:00,In Closure,"$856,591.50 ",4,""
16 - Kings,2021-11-18T00:00:00,In Review,0,0,""
16 - Kings,2021-11-18T00:00:00,Pending Construction,0,0,""
16 - Kings,2021-11-18T00:00:00,In Construction,0,0,""
16 - Kings,2021-11-18T00:00:00,In Closure,0,0,""
17 - Lake,2021-11-18T00:00:00,In Review,"$4,313,578.00 ",6,""
17 - Lake,2021-11-18T00:00:00,Pending Construction,"$4,906,520.00 ",10,""
17 - Lake,2021-11-18T00:00:00,In Construction,"$3,297,845.00 ",9,""
17 - Lake,2021-11-18T00:00:00,In Closure,"$162,066.00 ",2,""
18 - Lassen,2021-11-18T00:00:00,In Review,"$4,970,699.00 ",2,""
18 - Lassen,2021-11-18T00:00:00,Pending Construction,"$425,000.00 ",2,""
18 - Lassen,2021-11-18T00:00:00,In Construction,"$9,271,475.00 ",2,""
18 - Lassen,2021-11-18T00:00:00,In Closure,0,0,""
19 - Los Angeles,2021-11-18T00:00:00,In Review,"$615,479,406.45 ",189,Greater Los Angeles Counties
19 - Los Angeles,2021-11-18T00:00:00,Pending Construction,"$583,460,200.56 ",425,Greater Los Angeles Counties
19 - Los Angeles,2021-11-18T00:00:00,In Construction,"$1,384,687,109.44 ",1014,Greater Los Angeles Counties
19 - Los Angeles,2021-11-18T00:00:00,In Closure,"$138,086,641.04 ",120,Greater Los Angeles Counties
20 - Madera,2021-11-18T00:00:00,In Review,"$2,569,356.00 ",4,""
20 - Madera,2021-11-18T00:00:00,Pending Construction,"$11,202,394.95 ",10,""
20 - Madera,2021-11-18T00:00:00,In Construction,"$77,093,629.12 ",26,""
20 - Madera,2021-11-18T00:00:00,In Closure,"$1,551,462.00 ",4,""
21 - Marin,2021-11-18T00:00:00,In Review,"$2,271,017.00 ",7,Bay Area Counties
21 - Marin,2021-11-18T00:00:00,Pending Construction,"$39,538,714.00 ",27,Bay Area Counties
21 - Marin,2021-11-18T00:00:00,In Construction,"$37,205,489.24 ",35,Bay Area Counties
21 - Marin,2021-11-18T00:00:00,In Closure,"$182,209,129.75 ",13,Bay Area Counties
22 - Mariposa,2021-11-18T00:00:00,In Review,0,0,""
22 - Mariposa,2021-11-18T00:00:00,Pending Construction,0,0,""
22 - Mariposa,2021-11-18T00:00:00,In Construction,"$25,000.00 ",1,""
22 - Mariposa,2021-11-18T00:00:00,In Closure,0,0,""
23 - Mendocino,2021-11-18T00:00:00,In Review,"$1,594,496.00 ",4,""
23 - Mendocino,2021-11-18T00:00:00,Pending Construction,"$92,007.68 ",3,""
23 - Mendocino,2021-11-18T00:00:00,In Construction,"$6,408,402.68 ",19,""
23 - Mendocino,2021-11-18T00:00:00,In Closure,0,0,""
24 - Merced,2021-11-18T00:00:00,In Review,"$20,000.00 ",1,""
24 - Merced,2021-11-18T00:00:00,Pending Construction,"$89,000.00 ",4,""
24 - Merced,2021-11-18T00:00:00,In Construction,"$1,121,143.00 ",6,""
24 - Merced,2021-11-18T00:00:00,In Closure,"$22,965.00 ",1,""
25 - Modoc,2021-11-18T00:00:00,In Review,0,0,""
25 - Modoc,2021-11-18T00:00:00,Pending Construction,0,0,""
25 - Modoc,2021-11-18T00:00:00,In Construction,"$21,700.00 ",1,""
25 - Modoc,2021-11-18T00:00:00,In Closure,0,0,""
26 - Mono,2021-11-18T00:00:00,In Review,0,0,""
26 - Mono,2021-11-18T00:00:00,Pending Construction,"$118,134.00 ",2,""
26 - Mono,2021-11-18T00:00:00,In Construction,"$434,040.00 ",3,""
26 - Mono,2021-11-18T00:00:00,In Closure,0,0,""
27 - Monterey,2021-11-18T00:00:00,In Review,"$21,834,700.00 ",13,""
27 - Monterey,2021-11-18T00:00:00,Pending Construction,"$12,169,400.13 ",18,""
27 - Monterey,2021-11-18T00:00:00,In Construction,"$61,526,173.25 ",44,""
27 - Monterey,2021-11-18T00:00:00,In Closure,"$16,383,733.98 ",4,""
28 - Napa,2021-11-18T00:00:00,In Review,"$1,507,900.00 ",6,Bay Area Counties
28 - Napa,2021-11-18T00:00:00,Pending Construction,"$653,700.00 ",7,Bay Area Counties
28 - Napa,2021-11-18T00:00:00,In Construction,"$25,627,791.00 ",17,Bay Area Counties
28 - Napa,2021-11-18T00:00:00,In Closure,"$2,279,013.00 ",4,Bay Area Counties
29 - Nevada,2021-11-18T00:00:00,In Review,"$5,657,652.00 ",2,""
29 - Nevada,2021-11-18T00:00:00,Pending Construction,"$98,879.00 ",2,""
29 - Nevada,2021-11-18T00:00:00,In Construction,"$2,609,585.66 ",5,""
29 - Nevada,2021-11-18T00:00:00,In Closure,"$275,000.00 ",1,""
30 - Orange,2021-11-18T00:00:00,In Review,"$139,175,920.12 ",48,Greater Los Angeles Counties
30 - Orange,2021-11-18T00:00:00,Pending Construction,"$56,493,727.00 ",100,Greater Los Angeles Counties
30 - Orange,2021-11-18T00:00:00,In Construction,"$180,435,806.91 ",140,Greater Los Angeles Counties
30 - Orange,2021-11-18T00:00:00,In Closure,"$16,515,160.78 ",11,Greater Los Angeles Counties
31 - Placer,2021-11-18T00:00:00,In Review,"$19,170,992.00 ",14,Greater Sacramento Counties
31 - Placer,2021-11-18T00:00:00,Pending Construction,"$31,849,853.00 ",12,Greater Sacramento Counties
31 - Placer,2021-11-18T00:00:00,In Construction,"$43,196,595.15 ",22,Greater Sacramento Counties
31 - Placer,2021-11-18T00:00:00,In Closure,"$4,330,781.00 ",2,Greater Sacramento Counties
32 - Plumas,2021-11-18T00:00:00,In Review,0,0,""
32 - Plumas,2021-11-18T00:00:00,Pending Construction,0,0,""
32 - Plumas,2021-11-18T00:00:00,In Construction,"$289,348.00 ",1,""
32 - Plumas,2021-11-18T00:00:00,In Closure,0,0,""
33 - Riverside,2021-11-18T00:00:00,In Review,"$218,130,059.27 ",37,""
33 - Riverside,2021-11-18T00:00:00,Pending Construction,"$126,470,355.62 ",65,""
33 - Riverside,2021-11-18T00:00:00,In Construction,"$325,368,805.52 ",136,""
33 - Riverside,2021-11-18T00:00:00,In Closure,"$202,103,815.89 ",23,""
34 - Sacramento,2021-11-18T00:00:00,In Review,"$58,947,396.47 ",31,Greater Sacramento Counties
34 - Sacramento,2021-11-18T00:00:00,Pending Construction,"$68,333,339.68 ",44,Greater Sacramento Counties
34 - Sacramento,2021-11-18T00:00:00,In Construction,"$431,311,409.38 ",149,Greater Sacramento Counties
34 - Sacramento,2021-11-18T00:00:00,In Closure,"$5,537,172.90 ",12,Greater Sacramento Counties
35 - San Benito,2021-11-18T00:00:00,In Review,0,0,""
35 - San Benito,2021-11-18T00:00:00,Pending Construction,"$1,250,000.00 ",1,""
35 - San Benito,2021-11-18T00:00:00,In Construction,"$347,027.00 ",2,""
35 - San Benito,2021-11-18T00:00:00,In Closure,0,0,""
36 - San Bernardino,2021-11-18T00:00:00,In Review,"$23,041,616.56 ",35,""
36 - San Bernardino,2021-11-18T00:00:00,Pending Construction,"$26,969,684.89 ",61,""
36 - San Bernardino,2021-11-18T00:00:00,In Construction,"$450,114,955.81 ",122,""
36 - San Bernardino,2021-11-18T00:00:00,In Closure,"$34,274,688.98 ",21,""
37 - San Diego,2021-11-18T00:00:00,In Review,"$508,946,659.51 ",55,""
37 - San Diego,2021-11-18T00:00:00,Pending Construction,"$83,592,242.20 ",73,""
37 - San Diego,2021-11-18T00:00:00,In Construction,"$687,684,375.38 ",181,""
37 - San Diego,2021-11-18T00:00:00,In Closure,"$20,192,192.95 ",37,""
38 - San Francisco,2021-11-18T00:00:00,In Review,"$57,644,970.00 ",22,Bay Area Counties
38 - San Francisco,2021-11-18T00:00:00,Pending Construction,"$28,606,405.71 ",40,Bay Area Counties
38 - San Francisco,2021-11-18T00:00:00,In Construction,"$240,795,949.08 ",116,Bay Area Counties
38 - San Francisco,2021-11-18T00:00:00,In Closure,"$15,648,041.10 ",22,Bay Area Counties
39 - San Joaquin,2021-11-18T00:00:00,In Review,"$1,444,008.00 ",5,""
39 - San Joaquin,2021-11-18T00:00:00,Pending Construction,"$15,701,780.00 ",23,""
39 - San Joaquin,2021-11-18T00:00:00,In Construction,"$37,704,140.00 ",24,""
39 - San Joaquin,2021-11-18T00:00:00,In Closure,"$1,336,512.00 ",3,""
40 - San Luis Obispo,2021-11-18T00:00:00,In Review,"$73,720,000.00 ",5,""
40 - San Luis Obispo,2021-11-18T00:00:00,Pending Construction,"$1,264,566.00 ",5,""
40 - San Luis Obispo,2021-11-18T00:00:00,In Construction,"$7,040,760.48 ",11,""
40 - San Luis Obispo,2021-11-18T00:00:00,In Closure,0,0,""
41 - San Mateo,2021-11-18T00:00:00,In Review,"$8,370,134.00 ",18,Bay Area Counties
41 - San Mateo,2021-11-18T00:00:00,Pending Construction,"$12,366,358.00 ",18,Bay Area Counties
41 - San Mateo,2021-11-18T00:00:00,In Construction,"$84,127,650.70 ",57,Bay Area Counties
41 - San Mateo,2021-11-18T00:00:00,In Closure,"$563,374.11 ",3,Bay Area Counties
42 - Santa Barbara,2021-11-18T00:00:00,In Review,"$3,298,670.00 ",5,""
42 - Santa Barbara,2021-11-18T00:00:00,Pending Construction,"$22,209,867.14 ",16,""
42 - Santa Barbara,2021-11-18T00:00:00,In Construction,"$33,541,081.00 ",20,""
42 - Santa Barbara,2021-11-18T00:00:00,In Closure,"$1,335,565.00 ",5,""
43 - Santa Clara,2021-11-18T00:00:00,In Review,"$710,516,339.00 ",60,Bay Area Counties
43 - Santa Clara,2021-11-18T00:00:00,Pending Construction,"$126,834,936.14 ",77,Bay Area Counties
43 - Santa Clara,2021-11-18T00:00:00,In Construction,"$813,373,465.58 ",180,Bay Area Counties
43 - Santa Clara,2021-11-18T00:00:00,In Closure,"$89,120,938.82 ",20,Bay Area Counties
44 - Santa Cruz,2021-11-18T00:00:00,In Review,"$7,472,952.43 ",3,""
44 - Santa Cruz,2021-11-18T00:00:00,Pending Construction,"$2,309,344.00 ",3,""
44 - Santa Cruz,2021-11-18T00:00:00,In Construction,"$9,785,725.55 ",19,""
44 - Santa Cruz,2021-11-18T00:00:00,In Closure,"$1,816,148.67 ",4,""
45 - Shasta,2021-11-18T00:00:00,In Review,"$406,040.00 ",5,""
45 - Shasta,2021-11-18T00:00:00,Pending Construction,"$3,198,000.00 ",3,""
45 - Shasta,2021-11-18T00:00:00,In Construction,"$25,061,558.74 ",16,""
45 - Shasta,2021-11-18T00:00:00,In Closure,"$1,299,612.00 ",4,""
46 - Sierra,2021-11-18T00:00:00,In Review,0,0,""
46 - Sierra,2021-11-18T00:00:00,Pending Construction,0,0,""
46 - Sierra,2021-11-18T00:00:00,In Construction,0,0,""
46 - Sierra,2021-11-18T00:00:00,In Closure,0,0,""
47 - Siskiyou,2021-11-18T00:00:00,In Review,"$677,993.20 ",2,""
47 - Siskiyou,2021-11-18T00:00:00,Pending Construction,"$1,213,473.00 ",1,""
47 - Siskiyou,2021-11-18T00:00:00,In Construction,"$7,535,610.00 ",7,""
47 - Siskiyou,2021-11-18T00:00:00,In Closure,0,0,""
