COUNTRY_CODE,SEX,AGE,TIME,RES_POP,pop
CZ,F,Y15-29,2011,100000-499999,103566
CZ,F,Y15-29,2011,500000-999999,0
CZ,F,Y15-29,2011,GE1000000,128968
CZ,F,Y30-49,2011,0-1000,251733
CZ,F,Y30-49,2011,1000-9999,462675
CZ,F,Y30-49,2011,10000-99999,468074
CZ,F,Y30-49,2011,100000-499999,155228
CZ,F,Y30-49,2011,500000-999999,0
CZ,F,Y30-49,2011,GE1000000,199742
CZ,F,Y50-64,2011,0-1000,185090
CZ,F,Y50-64,2011,1000-9999,331354
CZ,F,Y50-64,2011,10000-99999,348512
CZ,F,Y50-64,2011,100000-499999,112376
CZ,F,Y50-64,2011,500000-999999,0
CZ,F,Y50-64,2011,GE1000000,128707
CZ,F,Y65-84,2011,0-1000,142294
CZ,F,Y65-84,2011,1000-9999,255154
CZ,F,Y65-84,2011,10000-99999,273408
CZ,F,Y65-84,2011,100000-499999,93709
CZ,F,Y65-84,2011,500000-999999,0
CZ,F,Y65-84,2011,GE1000000,104389
CZ,M,Y_GE85,2011,0-1000,6752
CZ,M,Y_GE85,2011,1000-9999,11803
CZ,M,Y_GE85,2011,10000-99999,12777
CZ,M,Y_GE85,2011,100000-499999,4912
CZ,M,Y_GE85,2011,500000-999999,0
CZ,M,Y_GE85,2011,GE1000000,6680
CZ,M,Y_LT15,2011,0-1000,140140
CZ,M,Y_LT15,2011,1000-9999,247564
CZ,M,Y_LT15,2011,10000-99999,226681
CZ,M,Y_LT15,2011,100000-499999,70820
CZ,M,Y_LT15,2011,500000-999999,0
CZ,M,Y_LT15,2011,GE1000000,78744
CZ,M,Y15-29,2011,0-1000,168080
CZ,M,Y15-29,2011,1000-9999,300000
CZ,M,Y15-29,2011,10000-99999,303857
CZ,M,Y15-29,2011,100000-499999,106234
CZ,M,Y15-29,2011,500000-999999,0
CZ,M,Y15-29,2011,GE1000000,128536
CZ,M,Y30-49,2011,0-1000,279435
CZ,M,Y30-49,2011,1000-9999,487318
CZ,M,Y30-49,2011,10000-99999,470814
CZ,M,Y30-49,2011,100000-499999,160116
CZ,M,Y30-49,2011,500000-999999,0
CZ,M,Y30-49,2011,GE1000000,207989
CZ,M,Y50-64,2011,0-1000,193416
CZ,M,Y50-64,2011,1000-9999,326273
CZ,M,Y50-64,2011,10000-99999,316378
CZ,M,Y50-64,2011,100000-499999,98965
CZ,M,Y50-64,2011,500000-999999,0
CZ,M,Y50-64,2011,GE1000000,114379
CZ,M,Y65-84,2011,0-1000,107510
CZ,M,Y65-84,2011,1000-9999,184790
